run_id,alias,kind,model,scenario,description,path,files,excluded_due_to_licensing
distribution_20260329_224419_llama,Llama local / Llama 3.2 3B • distribution benchmark,distribution,Llama local / Llama 3.2 3B,distribution benchmark,"Distribution run for llama local / llama 3.2 3b. Includes predictions, raw generations.",../artifacts/runs/distribution_20260329_224419_llama/,distribution_20260329_224419.log | predictions.tsv | raw.jsonl,subset.tsv
distribution_20260329_232251_qwen35-direct-dist-1080,Qwen 3.5 / distilled Qwen • distribution benchmark • direct persona • 36×6×5 grid,distribution,Qwen 3.5 / distilled Qwen,distribution benchmark | direct persona | 36×6×5 grid,"Distribution run for qwen 3.5 / distilled qwen. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260329_232251_qwen35-direct-dist-1080/,distribution_20260329_232251.log | errors.jsonl | predictions.tsv | raw.jsonl | summary.json,subset.tsv
distribution_20260330_005931_llama-nodemo-dist-1080,Llama local / Llama 3.2 3B • distribution benchmark • without demography • 36×6×5 grid,distribution,Llama local / Llama 3.2 3B,distribution benchmark | without demography | 36×6×5 grid,"Distribution run for llama local / llama 3.2 3b. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260330_005931_llama-nodemo-dist-1080/,distribution_20260330_005931.log | errors.jsonl | predictions.tsv | raw.jsonl | summary.json,subset.tsv
distribution_20260330_012523_llama-direct-dist-1080,Llama local / Llama 3.2 3B • distribution benchmark • direct persona • 36×6×5 grid,distribution,Llama local / Llama 3.2 3B,distribution benchmark | direct persona | 36×6×5 grid,"Distribution run for llama local / llama 3.2 3b. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260330_012523_llama-direct-dist-1080/,distribution_20260330_012523.log | errors.jsonl | predictions.tsv | raw.jsonl | summary.json,subset.tsv
distribution_20260330_015446_llama-interview-dist-1080,Llama local / Llama 3.2 3B • distribution benchmark • interview framing • 36×6×5 grid,distribution,Llama local / Llama 3.2 3B,distribution benchmark | interview framing | 36×6×5 grid,"Distribution run for llama local / llama 3.2 3b. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260330_015446_llama-interview-dist-1080/,distribution_20260330_015446.log | errors.jsonl | predictions.tsv | raw.jsonl | summary.json,subset.tsv
distribution_20260330_053336_qwen-targeted-followup,Unknown model • distribution benchmark • targeted follow-up,distribution,Unknown model,distribution benchmark | targeted follow-up,Distribution run for unknown model. Includes logs and artifacts.,../artifacts/runs/distribution_20260330_053336_qwen-targeted-followup/,distribution_20260330_053336.log,
distribution_20260330_053444_qwen-targeted-followup,Unknown model • distribution benchmark • targeted follow-up,distribution,Unknown model,distribution benchmark | targeted follow-up,"Distribution run for unknown model. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260330_053444_qwen-targeted-followup/,distribution_20260330_053444.log | errors.jsonl | predictions.tsv | raw.jsonl | summary.json,subset.tsv
distribution_20260330_061914_llama-targeted-followup,Llama local / Llama 3.2 3B • distribution benchmark • targeted follow-up,distribution,Llama local / Llama 3.2 3B,distribution benchmark | targeted follow-up,"Distribution run for llama local / llama 3.2 3b. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260330_061914_llama-targeted-followup/,distribution_20260330_061914.log | errors.jsonl | predictions.tsv | raw.jsonl | summary.json,subset.tsv
distribution_20260330_064513_llama-targeted-followup,Llama local / Llama 3.2 3B • distribution benchmark • targeted follow-up,distribution,Llama local / Llama 3.2 3B,distribution benchmark | targeted follow-up,"Distribution run for llama local / llama 3.2 3b. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260330_064513_llama-targeted-followup/,distribution_20260330_064513.log | errors.jsonl | predictions.tsv | raw.jsonl | summary.json,subset.tsv
distribution_20260330_071005_llama-targeted-followup,Llama local / Llama 3.2 3B • distribution benchmark • targeted follow-up,distribution,Llama local / Llama 3.2 3B,distribution benchmark | targeted follow-up,"Distribution run for llama local / llama 3.2 3b. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260330_071005_llama-targeted-followup/,distribution_20260330_071005.log | errors.jsonl | predictions.tsv | raw.jsonl | summary.json,subset.tsv
distribution_20260330_073423_hermes36-interview-direct-dist,Hermes 3 6B • distribution benchmark • interview framing,distribution,Hermes 3 6B,distribution benchmark | interview framing,"Distribution run for hermes 3 6b. Includes summaries, predictions, raw generations.",../artifacts/runs/distribution_20260330_073423_hermes36-interview-direct-dist/,distribution_20260330_073423.log | errors.jsonl | predictions.tsv | raw.jsonl | summary.json,subset.tsv
invariance_20260330_121203_qwen-targeted-invariance,Unknown model • wording / invariance check,invariance,Unknown model,wording / invariance check,"Invariance run for unknown model. Includes summaries, predictions, raw generations, question deltas.",../artifacts/runs/invariance_20260330_121203_qwen-targeted-invariance/,errors.jsonl | invariance_20260330_121203.log | predictions.tsv | question_delta_vs_original.tsv | raw.jsonl | summary_by_perturbation.json,subset.tsv
invariance_20260330_132031_llama-targeted-invariance,Llama local / Llama 3.2 3B • wording / invariance check,invariance,Llama local / Llama 3.2 3B,wording / invariance check,"Invariance run for llama local / llama 3.2 3b. Includes summaries, predictions, raw generations, question deltas.",../artifacts/runs/invariance_20260330_132031_llama-targeted-invariance/,errors.jsonl | invariance_20260330_132031.log | predictions.tsv | question_delta_vs_original.tsv | raw.jsonl | summary_by_perturbation.json,subset.tsv
